ImageNo,ReaderID,CaseID,Modality ,Score
668,truth ,Fake438 ,truth ,0
669,truth ,Fake439 ,truth ,0
670,truth ,Fake440 ,truth ,0
671,truth ,Fake441 ,truth ,0
672,truth ,Fake442 ,truth ,0
673,truth ,Fake501 ,truth ,0
674,truth ,Fake502 ,truth ,0
675,truth ,Fake503 ,truth ,0
676,truth ,Fake504 ,truth ,0
677,truth ,Fake505 ,truth ,0
678,truth ,Fake506 ,truth ,0
679,truth ,Fake507 ,truth ,0
680,truth ,Fake508 ,truth ,0
681,truth ,Fake509 ,truth ,0
682,truth ,Fake510 ,truth ,0
683,truth ,Fake511 ,truth ,0
684,truth ,Fake512 ,truth ,0
685,truth ,Fake513 ,truth ,0
686,truth ,Fake514 ,truth ,0
687,truth ,Fake515 ,truth ,0
688,truth ,Fake516 ,truth ,0
689,truth ,Fake517 ,truth ,0
690,truth ,Fake518 ,truth ,0
691,truth ,Fake519 ,truth ,0
692,truth ,Fake520 ,truth ,0
693,truth ,Fake521 ,truth ,0
694,truth ,Fake522 ,truth ,0
695,truth ,Fake523 ,truth ,0
696,truth ,Fake524 ,truth ,0
697,truth ,Fake525 ,truth ,0
698,truth ,Fake526 ,truth ,0
699,truth ,Fake527 ,truth ,0
700,truth ,Fake528 ,truth ,0
701,truth ,Fake529 ,truth ,0
702,truth ,Fake530 ,truth ,0
703,truth ,Fake531 ,truth ,0
704,truth ,Fake532 ,truth ,0
705,truth ,Fake533 ,truth ,0
706,truth ,Fake534 ,truth ,0
707,truth ,Fake535 ,truth ,0
708,truth ,Fake536 ,truth ,0
709,truth ,Fake537 ,truth ,0
710,truth ,Fake538 ,truth ,0
711,truth ,Fake539 ,truth ,0
712,truth ,Fake540 ,truth ,0
713,truth ,Fake541 ,truth ,0
714,truth ,Fake542 ,truth ,0
715,truth ,Fake601 ,truth ,0
716,truth ,Fake602 ,truth ,0
717,truth ,Fake603 ,truth ,0
718,truth ,Fake604 ,truth ,0
719,truth ,Fake605 ,truth ,0
720,truth ,Fake606 ,truth ,0
721,truth ,Fake607 ,truth ,0
722,truth ,Fake608 ,truth ,0
723,truth ,Fake609 ,truth ,0
724,truth ,Fake610 ,truth ,0
725,truth ,Fake611 ,truth ,0
726,truth ,Fake612 ,truth ,0
727,truth ,Fake613 ,truth ,0
728,truth ,Fake614 ,truth ,0
729,truth ,Fake615 ,truth ,0
730,truth ,Fake616 ,truth ,0
731,truth ,Fake617 ,truth ,0
732,truth ,Fake618 ,truth ,0
733,truth ,Fake619 ,truth ,0
734,truth ,Fake620 ,truth ,0
735,truth ,Fake621 ,truth ,0
736,truth ,Fake622 ,truth ,0
737,truth ,Fake623 ,truth ,0
738,truth ,Fake624 ,truth ,0
739,truth ,Fake625 ,truth ,0
740,truth ,Fake626 ,truth ,0
741,truth ,Fake627 ,truth ,0
742,truth ,Fake628 ,truth ,0
743,truth ,Fake629 ,truth ,0
744,truth ,Fake630 ,truth ,0
745,truth ,Fake631 ,truth ,0
746,truth ,Fake632 ,truth ,0
747,truth ,Fake633 ,truth ,0
748,truth ,Fake634 ,truth ,0
749,truth ,Fake635 ,truth ,0
750,truth ,Fake636 ,truth ,0
751,truth ,Fake637 ,truth ,0
752,truth ,Fake638 ,truth ,0
753,truth ,Fake639 ,truth ,0
754,truth ,Fake640 ,truth ,0
755,truth ,Fake641 ,truth ,0
756,truth ,Fake642 ,truth ,0
757,Reader1 ,Fake101 ,modalityA ,0.5
758,Reader1 ,Fake102 ,modalityA ,0.5
759,Reader1 ,Fake103 ,modalityA ,0.5
760,Reader1 ,Fake104 ,modalityA ,0.5
761,Reader1 ,Fake105 ,modalityA ,0.5
762,Reader1 ,Fake106 ,modalityA ,0.5
763,Reader1 ,Fake107 ,modalityA ,0.5
764,Reader1 ,Fake108 ,modalityA ,0.5
765,Reader1 ,Fake109 ,modalityA ,0.5
766,Reader1 ,Fake110 ,modalityA ,0.5
767,Reader1 ,Fake111 ,modalityA ,0.5
768,Reader1 ,Fake112 ,modalityA ,0.5
769,Reader1 ,Fake113 ,modalityA ,0.5
770,Reader1 ,Fake114 ,modalityA ,0.5
771,Reader1 ,Fake115 ,modalityA ,0.5
772,Reader1 ,Fake116 ,modalityA ,0.5
773,Reader1 ,Fake117 ,modalityA ,0.5
774,Reader1 ,Fake118 ,modalityA ,0.5
775,Reader1 ,Fake119 ,modalityA ,0.5
776,Reader1 ,Fake120 ,modalityA ,0.5
777,Reader1 ,Fake121 ,modalityA ,0.5
778,Reader1 ,Fake122 ,modalityA ,0.5
779,Reader1 ,Fake123 ,modalityA ,0.5
780,Reader1 ,Fake124 ,modalityA ,0.5
781,Reader1 ,Fake125 ,modalityA ,0.5
782,Reader1 ,Fake126 ,modalityA ,0.5
783,Reader1 ,Fake127 ,modalityA ,0.5
784,Reader1 ,Fake128 ,modalityA ,0.5
785,Reader1 ,Fake129 ,modalityA ,0.5
786,Reader1 ,Fake130 ,modalityA ,0.5
787,Reader1 ,Fake131 ,modalityA ,0.5
788,Reader1 ,Fake132 ,modalityA ,0.5
789,Reader1 ,Fake133 ,modalityA ,0.5
790,Reader1 ,Fake134 ,modalityA ,0.5
791,Reader1 ,Fake135 ,modalityA ,0.5
792,Reader1 ,Fake136 ,modalityA ,0.5
793,Reader1 ,Fake137 ,modalityA ,0.5
794,Reader1 ,Fake138 ,modalityA ,0.5
795,Reader1 ,Fake139 ,modalityA ,0.5
796,Reader1 ,Fake140 ,modalityA ,0.5
797,Reader1 ,Fake141 ,modalityA ,0.5
798,Reader1 ,Fake142 ,modalityA ,0.5
799,Reader2 ,Fake201 ,modalityA ,0.5
800,Reader2 ,Fake202 ,modalityA ,0.5
801,Reader2 ,Fake203 ,modalityA ,0.5
802,Reader2 ,Fake204 ,modalityA ,0.5
803,Reader2 ,Fake205 ,modalityA ,0.5
804,Reader2 ,Fake206 ,modalityA ,0.5
805,Reader2 ,Fake207 ,modalityA ,0.5
806,Reader2 ,Fake208 ,modalityA ,0.5
807,Reader2 ,Fake209 ,modalityA ,0.5
808,Reader2 ,Fake210 ,modalityA ,0.5
809,Reader2 ,Fake211 ,modalityA ,0.5
810,Reader2 ,Fake212 ,modalityA ,0.5
811,Reader2 ,Fake213 ,modalityA ,0.5
812,Reader2 ,Fake214 ,modalityA ,0.5
813,Reader2 ,Fake215 ,modalityA ,0.5
814,Reader2 ,Fake216 ,modalityA ,0.5
815,Reader2 ,Fake217 ,modalityA ,0.5
816,Reader2 ,Fake218 ,modalityA ,0.5
817,Reader2 ,Fake219 ,modalityA ,0.5
818,Reader2 ,Fake220 ,modalityA ,0.5
819,Reader2 ,Fake221 ,modalityA ,0.5
820,Reader2 ,Fake222 ,modalityA ,0.5
821,Reader2 ,Fake223 ,modalityA ,0.5
822,Reader2 ,Fake224 ,modalityA ,0.5
823,Reader2 ,Fake225 ,modalityA ,0.5
824,Reader2 ,Fake226 ,modalityA ,0.5
825,Reader2 ,Fake227 ,modalityA ,0.5
826,Reader2 ,Fake228 ,modalityA ,0.5
827,Reader2 ,Fake229 ,modalityA ,0.5
828,Reader2 ,Fake230 ,modalityA ,0.5
829,Reader2 ,Fake231 ,modalityA ,0.5
830,Reader2 ,Fake232 ,modalityA ,0.5
831,Reader2 ,Fake233 ,modalityA ,0.5
832,Reader2 ,Fake234 ,modalityA ,0.5
833,Reader2 ,Fake235 ,modalityA ,0.5
834,Reader2 ,Fake236 ,modalityA ,0.5
835,Reader2 ,Fake237 ,modalityA ,0.5
836,Reader2 ,Fake238 ,modalityA ,0.5
837,Reader2 ,Fake239 ,modalityA ,0.5
838,Reader2 ,Fake240 ,modalityA ,0.5
839,Reader2 ,Fake241 ,modalityA ,0.5
840,Reader2 ,Fake242 ,modalityA ,0.5
841,Reader3 ,Fake301 ,modalityA ,0.5
842,Reader3 ,Fake302 ,modalityA ,0.5
843,Reader3 ,Fake303 ,modalityA ,0.5
844,Reader3 ,Fake304 ,modalityA ,0.5
845,Reader3 ,Fake305 ,modalityA ,0.5
846,Reader3 ,Fake306 ,modalityA ,0.5
847,Reader3 ,Fake307 ,modalityA ,0.5
848,Reader3 ,Fake308 ,modalityA ,0.5
849,Reader3 ,Fake309 ,modalityA ,0.5
850,Reader3 ,Fake310 ,modalityA ,0.5
851,Reader3 ,Fake311 ,modalityA ,0.5
852,Reader3 ,Fake312 ,modalityA ,0.5
853,Reader3 ,Fake313 ,modalityA ,0.5
854,Reader3 ,Fake314 ,modalityA ,0.5
855,Reader3 ,Fake315 ,modalityA ,0.5
856,Reader3 ,Fake316 ,modalityA ,0.5
857,Reader3 ,Fake317 ,modalityA ,0.5
858,Reader3 ,Fake318 ,modalityA ,0.5
859,Reader3 ,Fake319 ,modalityA ,0.5
860,Reader3 ,Fake320 ,modalityA ,0.5
861,Reader3 ,Fake321 ,modalityA ,0.5
862,Reader3 ,Fake322 ,modalityA ,0.5
863,Reader3 ,Fake323 ,modalityA ,0.5
864,Reader3 ,Fake324 ,modalityA ,0.5
865,Reader3 ,Fake325 ,modalityA ,0.5
866,Reader3 ,Fake326 ,modalityA ,0.5
867,Reader3 ,Fake327 ,modalityA ,0.5
868,Reader3 ,Fake328 ,modalityA ,0.5
869,Reader3 ,Fake329 ,modalityA ,0.5
870,Reader3 ,Fake330 ,modalityA ,0.5
871,Reader3 ,Fake331 ,modalityA ,0.5
872,Reader3 ,Fake332 ,modalityA ,0.5
873,Reader3 ,Fake333 ,modalityA ,0.5
874,Reader3 ,Fake334 ,modalityA ,0.5
875,Reader3 ,Fake335 ,modalityA ,0.5
876,Reader3 ,Fake336 ,modalityA ,0.5
877,Reader3 ,Fake337 ,modalityA ,0.5
878,Reader3 ,Fake338 ,modalityA ,0.5
879,Reader3 ,Fake339 ,modalityA ,0.5
880,Reader3 ,Fake340 ,modalityA ,0.5
881,Reader3 ,Fake341 ,modalityA ,0.5
882,Reader3 ,Fake342 ,modalityA ,0.5
883,Reader4 ,Fake401 ,modalityA ,0.5
884,Reader4 ,Fake402 ,modalityA ,0.5
885,Reader4 ,Fake403 ,modalityA ,0.5
886,Reader4 ,Fake404 ,modalityA ,0.5
887,Reader4 ,Fake405 ,modalityA ,0.5
888,Reader4 ,Fake406 ,modalityA ,0.5
889,Reader4 ,Fake407 ,modalityA ,0.5
890,Reader4 ,Fake408 ,modalityA ,0.5
891,Reader4 ,Fake409 ,modalityA ,0.5
892,Reader4 ,Fake410 ,modalityA ,0.5
893,Reader4 ,Fake411 ,modalityA ,0.5
894,Reader4 ,Fake412 ,modalityA ,0.5
895,Reader4 ,Fake413 ,modalityA ,0.5
896,Reader4 ,Fake414 ,modalityA ,0.5
897,Reader4 ,Fake415 ,modalityA ,0.5
898,Reader4 ,Fake416 ,modalityA ,0.5
899,Reader4 ,Fake417 ,modalityA ,0.5
900,Reader4 ,Fake418 ,modalityA ,0.5
901,Reader4 ,Fake419 ,modalityA ,0.5
902,Reader4 ,Fake420 ,modalityA ,0.5
903,Reader4 ,Fake421 ,modalityA ,0.5
904,Reader4 ,Fake422 ,modalityA ,0.5
905,Reader4 ,Fake423 ,modalityA ,0.5
906,Reader4 ,Fake424 ,modalityA ,0.5
907,Reader4 ,Fake425 ,modalityA ,0.5
908,Reader4 ,Fake426 ,modalityA ,0.5
909,Reader4 ,Fake427 ,modalityA ,0.5
910,Reader4 ,Fake428 ,modalityA ,0.5
911,Reader4 ,Fake429 ,modalityA ,0.5
912,Reader4 ,Fake430 ,modalityA ,0.5
913,Reader4 ,Fake431 ,modalityA ,0.5
914,Reader4 ,Fake432 ,modalityA ,0.5
915,Reader4 ,Fake433 ,modalityA ,0.5
916,Reader4 ,Fake434 ,modalityA ,0.5
917,Reader4 ,Fake435 ,modalityA ,0.5
918,Reader4 ,Fake436 ,modalityA ,0.5
919,Reader4 ,Fake437 ,modalityA ,0.5
920,Reader4 ,Fake438 ,modalityA ,0.5
921,Reader4 ,Fake439 ,modalityA ,0.5
922,Reader4 ,Fake440 ,modalityA ,0.5
923,Reader4 ,Fake441 ,modalityA ,0.5
924,Reader4 ,Fake442 ,modalityA ,0.5
925,Reader5 ,Fake501 ,modalityA ,0.5
926,Reader5 ,Fake502 ,modalityA ,0.5
927,Reader5 ,Fake503 ,modalityA ,0.5
928,Reader5 ,Fake504 ,modalityA ,0.5
929,Reader5 ,Fake505 ,modalityA ,0.5
930,Reader5 ,Fake506 ,modalityA ,0.5
931,Reader5 ,Fake507 ,modalityA ,0.5
932,Reader5 ,Fake508 ,modalityA ,0.5
933,Reader5 ,Fake509 ,modalityA ,0.5
934,Reader5 ,Fake510 ,modalityA ,0.5
935,Reader5 ,Fake511 ,modalityA ,0.5
936,Reader5 ,Fake512 ,modalityA ,0.5
937,Reader5 ,Fake513 ,modalityA ,0.5
938,Reader5 ,Fake514 ,modalityA ,0.5
939,Reader5 ,Fake515 ,modalityA ,0.5
940,Reader5 ,Fake516 ,modalityA ,0.5
941,Reader5 ,Fake517 ,modalityA ,0.5
942,Reader5 ,Fake518 ,modalityA ,0.5
943,Reader5 ,Fake519 ,modalityA ,0.5
944,Reader5 ,Fake520 ,modalityA ,0.5
945,Reader5 ,Fake521 ,modalityA ,0.5
946,Reader5 ,Fake522 ,modalityA ,0.5
947,Reader5 ,Fake523 ,modalityA ,0.5
948,Reader5 ,Fake524 ,modalityA ,0.5
949,Reader5 ,Fake525 ,modalityA ,0.5
950,Reader5 ,Fake526 ,modalityA ,0.5
951,Reader5 ,Fake527 ,modalityA ,0.5
952,Reader5 ,Fake528 ,modalityA ,0.5
953,Reader5 ,Fake529 ,modalityA ,0.5
954,Reader5 ,Fake530 ,modalityA ,0.5
955,Reader5 ,Fake531 ,modalityA ,0.5
956,Reader5 ,Fake532 ,modalityA ,0.5
957,Reader5 ,Fake533 ,modalityA ,0.5
958,Reader5 ,Fake534 ,modalityA ,0.5
959,Reader5 ,Fake535 ,modalityA ,0.5
960,Reader5 ,Fake536 ,modalityA ,0.5
961,Reader5 ,Fake537 ,modalityA ,0.5
962,Reader5 ,Fake538 ,modalityA ,0.5
963,Reader5 ,Fake539 ,modalityA ,0.5
964,Reader5 ,Fake540 ,modalityA ,0.5
965,Reader5 ,Fake541 ,modalityA ,0.5
966,Reader5 ,Fake542 ,modalityA ,0.5
967,Reader6 ,Fake601 ,modalityA ,0.5
968,Reader6 ,Fake602 ,modalityA ,0.5
969,Reader6 ,Fake603 ,modalityA ,0.5
970,Reader6 ,Fake604 ,modalityA ,0.5
971,Reader6 ,Fake605 ,modalityA ,0.5
972,Reader6 ,Fake606 ,modalityA ,0.5
973,Reader6 ,Fake607 ,modalityA ,0.5
974,Reader6 ,Fake608 ,modalityA ,0.5
975,Reader6 ,Fake609 ,modalityA ,0.5
976,Reader6 ,Fake610 ,modalityA ,0.5
977,Reader6 ,Fake611 ,modalityA ,0.5
978,Reader6 ,Fake612 ,modalityA ,0.5
979,Reader6 ,Fake613 ,modalityA ,0.5
980,Reader6 ,Fake614 ,modalityA ,0.5
981,Reader6 ,Fake615 ,modalityA ,0.5
982,Reader6 ,Fake616 ,modalityA ,0.5
983,Reader6 ,Fake617 ,modalityA ,0.5
984,Reader6 ,Fake618 ,modalityA ,0.5
985,Reader6 ,Fake619 ,modalityA ,0.5
986,Reader6 ,Fake620 ,modalityA ,0.5
987,Reader6 ,Fake621 ,modalityA ,0.5
988,Reader6 ,Fake622 ,modalityA ,0.5
989,Reader6 ,Fake623 ,modalityA ,0.5
990,Reader6 ,Fake624 ,modalityA ,0.5
991,Reader6 ,Fake625 ,modalityA ,0.5
992,Reader6 ,Fake626 ,modalityA ,0.5
993,Reader6 ,Fake627 ,modalityA ,0.5
994,Reader6 ,Fake628 ,modalityA ,0.5
995,Reader6 ,Fake629 ,modalityA ,0.5
996,Reader6 ,Fake630 ,modalityA ,0.5
997,Reader6 ,Fake631 ,modalityA ,0.5
998,Reader6 ,Fake632 ,modalityA ,0.5
999,Reader6 ,Fake633 ,modalityA ,0.5
1000,Reader6 ,Fake634 ,modalityA ,0.5
1001,Reader6 ,Fake635 ,modalityA ,0.5
1002,Reader6 ,Fake636 ,modalityA ,0.5
1003,Reader6 ,Fake637 ,modalityA ,0.5
1004,Reader6 ,Fake638 ,modalityA ,0.5
1005,Reader6 ,Fake639 ,modalityA ,0.5
1006,Reader6 ,Fake640 ,modalityA ,0.5
1007,Reader6 ,Fake641 ,modalityA ,0.5
1008,Reader6 ,Fake642 ,modalityA ,0.5
