ReaderID,CaseID,ModalityID,Score
Reader0002 ,Fake2011 ,modalityA ,0.5
Reader0002 ,Fake2012 ,modalityA ,0.5
Reader0002 ,Fake2013 ,modalityA ,0.5
Reader0002 ,Fake2014 ,modalityA ,0.5
Reader0002 ,Fake2015 ,modalityA ,0.5
Reader0002 ,Fake2016 ,modalityA ,0.5
Reader0002 ,Fake2017 ,modalityA ,0.5
Reader0002 ,Fake2018 ,modalityA ,0.5
Reader0002 ,Fake4048 ,modalityA ,0.5
Reader0002 ,Fake4056 ,modalityA ,0.5
Reader0002 ,Fake4064 ,modalityA ,0.5
Reader0002 ,Fake4072 ,modalityA ,0.5
Reader0002 ,Fake8044 ,modalityA ,0.5
Reader0002 ,Fake8052 ,modalityA ,0.5
Reader0002 ,Fake8060 ,modalityA ,0.5
Reader0002 ,Fake8068 ,modalityA ,0.5
Reader0003 ,Fake1020 ,modalityA ,0.5
Reader0003 ,Fake1021 ,modalityA ,0.5
Reader0003 ,Fake1022 ,modalityA ,0.5
Reader0003 ,Fake1023 ,modalityA ,0.5
Reader0003 ,Fake1024 ,modalityA ,0.5
Reader0003 ,Fake1025 ,modalityA ,0.5
Reader0003 ,Fake1026 ,modalityA ,0.5
Reader0003 ,Fake1027 ,modalityA ,0.5
Reader0003 ,Fake1028 ,modalityA ,0.5
Reader0003 ,Fake2020 ,modalityA ,0.5
Reader0003 ,Fake2021 ,modalityA ,0.5
Reader0003 ,Fake2022 ,modalityA ,0.5
Reader0003 ,Fake2023 ,modalityA ,0.5
Reader0003 ,Fake2024 ,modalityA ,0.5
Reader0003 ,Fake2025 ,modalityA ,0.5
Reader0003 ,Fake2027 ,modalityA ,0.5
Reader0003 ,Fake2028 ,modalityA ,0.5
Reader0003 ,Fake2029 ,modalityA ,0.5
Reader0003 ,Fake4080 ,modalityA ,0.5
Reader0003 ,Fake4088 ,modalityA ,0.5
Reader0003 ,Fake4096 ,modalityA ,0.5
Reader0003 ,Fake4104 ,modalityA ,0.5
Reader0003 ,Fake4112 ,modalityA ,0.5
Reader0003 ,Fake8080 ,modalityA ,0.5
Reader0003 ,Fake8088 ,modalityA ,0.5
Reader0003 ,Fake8096 ,modalityA ,0.5
Reader0003 ,Fake8108 ,modalityA ,0.5
Reader0003 ,Fake8116 ,modalityA ,0.5
Reader0004 ,Fake1029 ,modalityA ,0.5
Reader0004 ,Fake1030 ,modalityA ,0.5
Reader0004 ,Fake1031 ,modalityA ,0.5
Reader0004 ,Fake1032 ,modalityA ,0.5
Reader0004 ,Fake1033 ,modalityA ,0.5
Reader0004 ,Fake1034 ,modalityA ,0.5
Reader0004 ,Fake1035 ,modalityA ,0.5
Reader0004 ,Fake1036 ,modalityA ,0.5
Reader0004 ,Fake1037 ,modalityA ,0.5
Reader0004 ,Fake2030 ,modalityA ,0.5
Reader0004 ,Fake2031 ,modalityA ,0.5
Reader0004 ,Fake2032 ,modalityA ,0.5
Reader0004 ,Fake2033 ,modalityA ,0.5
Reader0004 ,Fake2034 ,modalityA ,0.5
Reader0004 ,Fake2035 ,modalityA ,0.5
Reader0004 ,Fake2036 ,modalityA ,0.5
Reader0004 ,Fake2037 ,modalityA ,0.5
Reader0004 ,Fake2038 ,modalityA ,0.5
Reader0004 ,Fake4120 ,modalityA ,0.5
Reader0004 ,Fake4128 ,modalityA ,0.5
Reader0004 ,Fake4136 ,modalityA ,0.5
Reader0004 ,Fake4144 ,modalityA ,0.5
Reader0004 ,Fake8124 ,modalityA ,0.5
Reader0004 ,Fake8132 ,modalityA ,0.5
Reader0004 ,Fake8140 ,modalityA ,0.5
Reader0004 ,Fake8148 ,modalityA ,0.5
Reader0005 ,Fake3003 ,modalityA ,0.5
Reader0005 ,Fake3006 ,modalityA ,0.5
Reader0005 ,Fake3012 ,modalityA ,0.5
Reader0005 ,Fake3015 ,modalityA ,0.5
Reader0005 ,Fake3018 ,modalityA ,0.5
Reader0005 ,Fake3021 ,modalityA ,0.5
Reader0005 ,Fake3024 ,modalityA ,0.5
Reader0005 ,Fake3027 ,modalityA ,0.5
Reader0005 ,Fake3030 ,modalityA ,0.5
Reader0005 ,Fake4008 ,modalityA ,0.5
Reader0005 ,Fake4020 ,modalityA ,0.5
Reader0005 ,Fake4028 ,modalityA ,0.5
Reader0005 ,Fake4036 ,modalityA ,0.5
Reader0005 ,Fake6003 ,modalityA ,0.5
Reader0005 ,Fake6006 ,modalityA ,0.5
Reader0005 ,Fake6009 ,modalityA ,0.5
Reader0005 ,Fake6012 ,modalityA ,0.5
Reader0005 ,Fake6015 ,modalityA ,0.5
Reader0005 ,Fake6018 ,modalityA ,0.5
Reader0005 ,Fake6021 ,modalityA ,0.5
Reader0005 ,Fake6024 ,modalityA ,0.5
Reader0005 ,Fake6027 ,modalityA ,0.5
Reader0005 ,Fake8008 ,modalityA ,0.5
Reader0005 ,Fake8016 ,modalityA ,0.5
Reader0005 ,Fake8024 ,modalityA ,0.5
Reader0005 ,Fake8032 ,modalityA ,0.5
Reader0006 ,Fake3033 ,modalityA ,0.5
Reader0006 ,Fake3036 ,modalityA ,0.5
Reader0006 ,Fake3039 ,modalityA ,0.5
Reader0006 ,Fake3042 ,modalityA ,0.5
Reader0006 ,Fake3045 ,modalityA ,0.5
Reader0006 ,Fake3048 ,modalityA ,0.5
Reader0006 ,Fake3051 ,modalityA ,0.5
Reader0006 ,Fake3054 ,modalityA ,0.5
Reader0006 ,Fake3057 ,modalityA ,0.5
Reader0006 ,Fake4044 ,modalityA ,0.5
Reader0006 ,Fake4052 ,modalityA ,0.5
Reader0006 ,Fake4060 ,modalityA ,0.5
Reader0006 ,Fake4068 ,modalityA ,0.5
Reader0006 ,Fake4076 ,modalityA ,0.5
Reader0006 ,Fake6030 ,modalityA ,0.5
Reader0006 ,Fake6033 ,modalityA ,0.5
Reader0006 ,Fake6036 ,modalityA ,0.5
Reader0006 ,Fake6039 ,modalityA ,0.5
Reader0006 ,Fake6042 ,modalityA ,0.5
Reader0006 ,Fake6045 ,modalityA ,0.5
Reader0006 ,Fake6048 ,modalityA ,0.5
Reader0006 ,Fake6051 ,modalityA ,0.5
Reader0006 ,Fake6054 ,modalityA ,0.5
Reader0006 ,Fake8040 ,modalityA ,0.5
Reader0006 ,Fake8048 ,modalityA ,0.5
Reader0006 ,Fake8056 ,modalityA ,0.5
Reader0006 ,Fake8064 ,modalityA ,0.5
Reader0006 ,Fake8072 ,modalityA ,0.5
Reader0007 ,Fake3060 ,modalityA ,0.5
Reader0007 ,Fake3063 ,modalityA ,0.5
Reader0007 ,Fake3066 ,modalityA ,0.5
Reader0007 ,Fake3069 ,modalityA ,0.5
Reader0007 ,Fake3072 ,modalityA ,0.5
Reader0007 ,Fake3075 ,modalityA ,0.5
Reader0007 ,Fake3078 ,modalityA ,0.5
Reader0007 ,Fake3081 ,modalityA ,0.5
Reader0007 ,Fake3084 ,modalityA ,0.5
Reader0007 ,Fake4084 ,modalityA ,0.5
Reader0007 ,Fake4092 ,modalityA ,0.5
Reader0007 ,Fake4100 ,modalityA ,0.5
Reader0007 ,Fake4108 ,modalityA ,0.5
Reader0007 ,Fake6060 ,modalityA ,0.5
Reader0007 ,Fake6063 ,modalityA ,0.5
Reader0007 ,Fake6066 ,modalityA ,0.5
Reader0007 ,Fake6069 ,modalityA ,0.5
Reader0007 ,Fake6072 ,modalityA ,0.5
Reader0007 ,Fake6075 ,modalityA ,0.5
Reader0007 ,Fake6081 ,modalityA ,0.5
Reader0007 ,Fake6084 ,modalityA ,0.5
Reader0007 ,Fake6087 ,modalityA ,0.5
Reader0007 ,Fake8084 ,modalityA ,0.5
Reader0007 ,Fake8092 ,modalityA ,0.5
Reader0007 ,Fake8100 ,modalityA ,0.5
Reader0007 ,Fake8112 ,modalityA ,0.5
Reader0008 ,Fake3087 ,modalityA ,0.5
Reader0008 ,Fake3090 ,modalityA ,0.5
Reader0008 ,Fake3093 ,modalityA ,0.5
Reader0008 ,Fake3096 ,modalityA ,0.5
Reader0008 ,Fake3099 ,modalityA ,0.5
Reader0008 ,Fake3102 ,modalityA ,0.5
Reader0008 ,Fake3105 ,modalityA ,0.5
Reader0008 ,Fake3108 ,modalityA ,0.5
Reader0008 ,Fake3111 ,modalityA ,0.5
Reader0008 ,Fake4116 ,modalityA ,0.5
Reader0008 ,Fake4124 ,modalityA ,0.5
Reader0008 ,Fake4132 ,modalityA ,0.5
Reader0008 ,Fake4140 ,modalityA ,0.5
Reader0008 ,Fake4148 ,modalityA ,0.5
Reader0008 ,Fake6090 ,modalityA ,0.5
Reader0008 ,Fake6093 ,modalityA ,0.5
Reader0008 ,Fake6096 ,modalityA ,0.5
Reader0008 ,Fake6099 ,modalityA ,0.5
Reader0008 ,Fake6102 ,modalityA ,0.5
Reader0008 ,Fake6105 ,modalityA ,0.5
Reader0008 ,Fake6108 ,modalityA ,0.5
Reader0008 ,Fake6111 ,modalityA ,0.5
Reader0008 ,Fake6114 ,modalityA ,0.5
Reader0008 ,Fake8120 ,modalityA ,0.5
Reader0008 ,Fake8128 ,modalityA ,0.5
Reader0008 ,Fake8136 ,modalityA ,0.5
Reader0008 ,Fake8144 ,modalityA ,0.5
Reader0008 ,Fake8152 ,modalityA ,0.5
